 The CDF Plot coordinates are as follows: 
 (127.0,129.58)
(200.0,204.07)
(405.0,413.26)
(637.0,649.99)
(686.0,699.99)
(721.0,735.7)
(770.0,785.7)
(905.0,923.46)
(988.0,1008.15)
(994.0,1014.28)

 The coordinate values for the Inverse Uniform Distribution :
(127.0,0.9821252649848332)
(200.0,0.984999714983754)
(405.0,0.9875308324946395)
(637.0,0.9884301171352401)
(686.0,0.9885422532275242)
(721.0,0.9886130105161542)
(770.0,0.9887012750881184)
(905.0,0.9888950163913268)
(988.0,0.9889878409331296)
(994.0,0.9889939581148546)
